P( Et | Xt ): 
P(j|j) = 0.626984126984
P(k|j) = 0.0396825396825
P(l|j) = 0.00793650793651
P(m|j) = 0.0238095238095
P(n|j) = 0.031746031746
P(o|j) = 0.00793650793651
P(p|j) = 0.00793650793651
P(q|j) = 0.00793650793651
P(r|j) = 0.00793650793651
P(s|j) = 0.00793650793651
P(t|j) = 0.00793650793651
P(u|j) = 0.0873015873016
P(v|j) = 0.00793650793651
P(w|j) = 0.00793650793651
P(x|j) = 0.00793650793651
P(y|j) = 0.00793650793651
P(z|j) = 0.00793650793651
P(_|k) = 0.00170648464164
P(a|k) = 0.00170648464164
P(b|k) = 0.00170648464164
P(c|k) = 0.00170648464164
P(d|k) = 0.00170648464164
P(e|k) = 0.00170648464164
P(f|k) = 0.00170648464164
P(g|k) = 0.00170648464164
P(h|k) = 0.00170648464164
P(i|k) = 0.037542662116
P(j|k) = 0.0409556313993
P(k|k) = 0.80204778157
P(l|k) = 0.0341296928328
P(m|k) = 0.0477815699659
P(n|k) = 0.00170648464164
P(o|k) = 0.00170648464164
P(p|k) = 0.00170648464164
P(q|k) = 0.00170648464164
P(r|k) = 0.00170648464164
P(s|k) = 0.00170648464164
P(t|k) = 0.00170648464164
P(u|k) = 0.00170648464164
P(v|k) = 0.00170648464164
P(w|k) = 0.00170648464164
P(x|k) = 0.00170648464164
P(y|k) = 0.00170648464164
P(z|k) = 0.00170648464164
P(_|l) = 0.00016691704223
P(a|l) = 0.00016691704223
P(b|l) = 0.00016691704223
P(c|l) = 0.00016691704223
P(d|l) = 0.00016691704223
P(e|l) = 0.00016691704223
P(f|l) = 0.00016691704223
P(g|l) = 0.00016691704223
P(h|l) = 0.00016691704223
P(i|l) = 0.00016691704223
P(j|l) = 0.00016691704223
P(k|l) = 0.0659322316809
P(l|l) = 0.801535636789
P(m|l) = 0.00016691704223
P(n|l) = 0.00016691704223
P(o|l) = 0.0657653146386
P(p|l) = 0.0629277249207
P(q|l) = 0.00016691704223
P(r|l) = 0.00016691704223
P(s|l) = 0.00016691704223
P(t|l) = 0.00016691704223
P(u|l) = 0.00016691704223
P(v|l) = 0.00016691704223
P(w|l) = 0.00016691704223
P(x|l) = 0.00016691704223
P(y|l) = 0.00016691704223
P(z|l) = 0.00016691704223
P(_|m) = 0.000280112044818
P(a|m) = 0.000280112044818
P(b|m) = 0.000280112044818
P(c|m) = 0.000280112044818
